Company Name,Industry,Symbol
One97 Communications Ltd. (Paytm),Financial Services,PAYTM
FSN E-Commerce Ventures Ltd. (Nykaa),Consumer Services,NYKAA
PB Fintech Ltd. (PolicyBazaar),Financial Services,POLICYBZR
Avenue Supermarts Ltd. (DMart),Consumer Services,DMART
Vedanta Ltd.,Metals & Mining,VEDL
Yes Bank Ltd.,Financial Services,YESBANK
Vodafone Idea Ltd.,Telecommunication,IDEA
Indian Railway Catering and Tourism Corporation Ltd.,Services,IRCTC
Life Insurance Corporation of India,Financial Services,LICI
Bank of Baroda,Financial Services,BANKBARODA
Punjab National Bank,Financial Services,PNB
Canara Bank,Financial Services,CANBK
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
Hindustan Aeronautics Ltd.,Capital Goods (Defense),HAL
Mazagon Dock Shipbuilders Ltd.,Capital Goods (Defense),MAZDOCK
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB
Federal Bank Ltd.,Financial Services,FEDERALBNK
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA
Havells India Ltd.,Consumer Durables,HAVELLS
Pidilite Industries Ltd.,Chemicals,PIDILITIND
Voltas Ltd.,Consumer Durables,VOLTAS
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN
Delhivery Ltd.,Services,DELHIVERY
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL
Steel Authority of India Ltd.,Metals & Mining,SAIL
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL
NHPC Ltd.,Power,NHPC
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC
Swiggy Ltd.,Consumer Services,SWIGGY
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC
Adani Power Ltd.,Power,ADANIPOWER
Adani Green Energy Ltd.,Power,ADANIGREEN
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST
